Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
740-37-5335,Alex,Yangon,Member,Male,Electronic accessories,64.87,2,6.4870,136.2270,1/27/2019,12:35:00 PM,Ewallet,129.7400,4.761904762,6.4870,4.9
398-14-4792,Giza,Naypyitaw,Normal,Female,Fashion accessories,50.55,10,25.2750,530.7750,3/2/2019,5:04:00 PM,Credit card,505.5000,4.761904762,25.2750,5.4
923-35-7965,Giza,Naypyitaw,Member,Male,Fashion accessories,80.90,10,40.4500,849.4500,3/26/2019,12:58:00 PM,Cash,809.0000,4.761904762,40.4500,9.0
866-82-5728,Alex,Yangon,Normal,Male,Sports and travel,15.37,5,3.8425,80.6925,3/18/2019,2:44:00 PM,Cash,76.8500,4.761904762,3.8425,9.7
712-15-8078,Cairo,Mandalay,Normal,Female,Health and beauty,58.60,8,23.4400,492.2400,1/11/2019,11:14:00 AM,Credit card,468.8000,4.761904762,23.4400,9.0
941-44-1659,Cairo,Mandalay,Member,Female,Food and beverages,62.84,1,3.1420,65.9820,3/28/2019,8:28:00 PM,Cash,62.8400,4.761904762,3.1420,5.1
581-54-7690,Cairo,Mandalay,Normal,Female,Fashion accessories,49.23,8,19.6920,413.5320,1/12/2019,11:54:00 AM,Ewallet,393.8400,4.761904762,19.6920,6.0
137-68-2442,Cairo,Mandalay,Normal,Female,Home and lifestyle,54.59,7,19.1065,401.2365,3/12/2019,11:49:00 AM,Cash,382.1300,4.761904762,19.1065,9.2
523-16-4073,Alex,Yangon,Normal,Female,Fashion accessories,69.19,9,31.1355,653.8455,3/1/2019,5:48:00 PM,Ewallet,622.7100,4.761904762,31.1355,5.2
815-72-2989,Cairo,Mandalay,Member,Male,Fashion accessories,21.79,5,5.4475,114.3975,2/26/2019,12:19:00 PM,Credit card,108.9500,4.761904762,5.4475,4.1
220-92-3522,Giza,Naypyitaw,Normal,Female,Food and beverages,18.39,2,1.8390,38.6190,3/1/2019,2:26:00 PM,Cash,36.7800,4.761904762,1.8390,9.9
295-86-9327,Alex,Yangon,Member,Male,Home and lifestyle,51.11,3,7.6665,160.9965,2/19/2019,4:21:00 PM,Credit card,153.3300,4.761904762,7.6665,5.6
693-94-9022,Alex,Yangon,Member,Female,Food and beverages,35.46,5,8.8650,186.1650,3/17/2019,5:22:00 PM,Cash,177.3000,4.761904762,8.8650,7.3
814-40-7274,Cairo,Mandalay,Member,Female,Health and beauty,43.95,6,13.1850,276.8850,1/25/2019,3:47:00 PM,Cash,263.7000,4.761904762,13.1850,8.2
137-26-9229,Giza,Naypyitaw,Normal,Male,Sports and travel,44.75,3,6.7125,140.9625,3/5/2019,11:33:00 AM,Cash,134.2500,4.761904762,6.7125,4.1
580-43-6546,Alex,Yangon,Normal,Male,Home and lifestyle,46.90,3,7.0350,147.7350,1/10/2019,8:54:00 PM,Credit card,140.7000,4.761904762,7.0350,6.3
136-89-2121,Giza,Naypyitaw,Member,Female,Electronic accessories,66.41,8,26.5640,557.8440,3/11/2019,11:27:00 AM,Ewallet,531.2800,4.761904762,26.5640,8.6
810-48-1474,Cairo,Mandalay,Member,Female,Health and beauty,88.53,8,35.4120,743.6520,1/22/2019,2:22:00 PM,Cash,708.2400,4.761904762,35.4120,6.6
911-33-3785,Alex,Yangon,Member,Male,Food and beverages,57.80,10,28.9000,606.9000,3/29/2019,4:39:00 PM,Credit card,578.0000,4.761904762,28.9000,5.4
360-68-5183,Cairo,Mandalay,Member,Female,Home and lifestyle,22.88,8,9.1520,192.1920,3/23/2019,8:34:00 PM,Ewallet,183.0400,4.761904762,9.1520,4.4
534-98-5097,Giza,Naypyitaw,Normal,Female,Electronic accessories,98.89,5,24.7225,519.1725,3/23/2019,4:54:00 PM,Cash,494.4500,4.761904762,24.7225,4.6
816-47-1359,Giza,Naypyitaw,Normal,Female,Health and beauty,61.47,10,30.7350,645.4350,2/7/2019,7:55:00 PM,Credit card,614.7000,4.761904762,30.7350,8.7
894-39-6772,Alex,Yangon,Member,Male,Food and beverages,91.96,8,36.7840,772.4640,2/6/2019,2:43:00 PM,Credit card,735.6800,4.761904762,36.7840,8.6
761-15-6061,Cairo,Mandalay,Normal,Male,Food and beverages,85.45,2,8.5450,179.4450,3/22/2019,3:46:00 PM,Ewallet,170.9000,4.761904762,8.5450,4.5
305-26-9837,Giza,Naypyitaw,Normal,Female,Electronic accessories,39.40,7,13.7900,289.5900,1/23/2019,2:58:00 PM,Cash,275.8000,4.761904762,13.7900,9.8
579-19-3306,Giza,Naypyitaw,Member,Female,Food and beverages,77.19,6,23.1570,486.2970,1/15/2019,3:05:00 PM,Cash,463.1400,4.761904762,23.1570,4.1
866-96-5295,Cairo,Mandalay,Normal,Female,Health and beauty,21.12,6,6.3360,133.0560,3/28/2019,8:14:00 PM,Cash,126.7200,4.761904762,6.3360,4.2
763-18-8606,Cairo,Mandalay,Normal,Female,Health and beauty,39.52,10,19.7600,414.9600,1/29/2019,12:02:00 PM,Ewallet,395.2000,4.761904762,19.7600,5.8
238-59-8432,Giza,Naypyitaw,Normal,Female,Food and beverages,20.45,4,4.0900,85.8900,3/10/2019,12:56:00 PM,Cash,81.8000,4.761904762,4.0900,7.9
806-57-4559,Giza,Naypyitaw,Normal,Female,Electronic accessories,65.41,5,16.3525,343.4025,1/5/2019,3:06:00 PM,Credit card,327.0500,4.761904762,16.3525,6.2
294-25-8450,Cairo,Mandalay,Member,Male,Fashion accessories,42.28,7,14.7980,310.7580,2/5/2019,8:38:00 PM,Ewallet,295.9600,4.761904762,14.7980,4.3
310-18-4394,Giza,Naypyitaw,Member,Male,Home and lifestyle,31.92,3,4.7880,100.5480,3/14/2019,12:50:00 PM,Credit card,95.7600,4.761904762,4.7880,4.0
917-32-2801,Alex,Yangon,Member,Male,Health and beauty,98.88,9,44.4960,934.4160,2/2/2019,3:50:00 PM,Ewallet,889.9200,4.761904762,44.4960,7.5
859-63-9619,Alex,Yangon,Member,Male,Sports and travel,25.68,1,1.2840,26.9640,1/17/2019,5:49:00 PM,Cash,25.6800,4.761904762,1.2840,7.1
144-94-9543,Alex,Yangon,Normal,Female,Fashion accessories,50.68,4,10.1360,212.8560,3/20/2019,10:03:00 AM,Cash,202.7200,4.761904762,10.1360,9.1
175-20-6277,Giza,Naypyitaw,Member,Male,Electronic accessories,71.75,8,28.7000,602.7000,2/26/2019,2:39:00 PM,Credit card,574.0000,4.761904762,28.7000,7.5
401-68-9282,Cairo,Mandalay,Normal,Male,Fashion accessories,39.27,10,19.6350,412.3350,3/9/2019,11:54:00 AM,Credit card,392.7000,4.761904762,19.6350,7.9
562-39-7779,Cairo,Mandalay,Normal,Female,Sports and travel,74.88,4,14.9760,314.4960,2/25/2019,4:46:00 PM,Ewallet,299.5200,4.761904762,14.9760,5.9
803-70-2099,Giza,Naypyitaw,Member,Male,Health and beauty,69.86,6,20.9580,440.1180,1/20/2019,4:06:00 PM,Credit card,419.1600,4.761904762,20.9580,8.4
675-52-3002,Alex,Yangon,Normal,Female,Fashion accessories,60.07,10,30.0350,630.7350,3/13/2019,4:55:00 PM,Credit card,600.7000,4.761904762,30.0350,4.3
691-74-4485,Giza,Naypyitaw,Member,Female,Electronic accessories,64.04,6,19.2120,403.4520,1/14/2019,11:22:00 AM,Credit card,384.2400,4.761904762,19.2120,6.2
885-89-1430,Giza,Naypyitaw,Normal,Male,Electronic accessories,61.67,7,21.5845,453.2745,3/13/2019,2:44:00 PM,Cash,431.6900,4.761904762,21.5845,9.5
773-61-2140,Giza,Naypyitaw,Member,Male,Health and beauty,10.55,3,1.5825,33.2325,3/14/2019,6:13:00 PM,Cash,31.6500,4.761904762,1.5825,6.5
895-82-2391,Giza,Naypyitaw,Member,Male,Electronic accessories,24.17,5,6.0425,126.8925,2/11/2019,7:03:00 PM,Credit card,120.8500,4.761904762,6.0425,4.5
552-63-5475,Giza,Naypyitaw,Member,Male,Home and lifestyle,69.57,8,27.8280,584.3880,3/19/2019,4:07:00 PM,Cash,556.5600,4.761904762,27.8280,8.1
325-60-1897,Cairo,Mandalay,Member,Male,Home and lifestyle,53.80,5,13.4500,282.4500,1/6/2019,1:49:00 PM,Ewallet,269.0000,4.761904762,13.4500,8.6
864-65-3878,Giza,Naypyitaw,Member,Female,Food and beverages,39.53,1,1.9765,41.5065,3/5/2019,1:32:00 PM,Credit card,39.5300,4.761904762,1.9765,9.0
119-68-2275,Giza,Naypyitaw,Normal,Female,Food and beverages,16.49,1,0.8245,17.3145,2/25/2019,4:45:00 PM,Credit card,16.4900,4.761904762,0.8245,6.5
920-89-8538,Alex,Yangon,Normal,Male,Sports and travel,46.45,6,13.9350,292.6350,1/22/2019,11:15:00 AM,Cash,278.7000,4.761904762,13.9350,7.5
326-52-3754,Cairo,Mandalay,Member,Male,Food and beverages,17.08,5,4.2700,89.6700,2/13/2019,6:12:00 PM,Cash,85.4000,4.761904762,4.2700,6.1
249-42-4232,Cairo,Mandalay,Member,Male,Fashion accessories,83.35,4,16.6700,350.0700,1/14/2019,11:11:00 AM,Credit card,333.4000,4.761904762,16.6700,7.0
678-92-6295,Cairo,Mandalay,Normal,Male,Sports and travel,78.39,8,31.3560,658.4760,3/29/2019,11:30:00 AM,Cash,627.1200,4.761904762,31.3560,7.8
175-49-8565,Giza,Naypyitaw,Normal,Male,Health and beauty,63.23,6,18.9690,398.3490,3/6/2019,3:53:00 PM,Cash,379.3800,4.761904762,18.9690,4.5
573-84-1672,Alex,Yangon,Normal,Male,Home and lifestyle,65.35,9,29.4075,617.5575,2/19/2019,7:30:00 PM,Credit card,588.1500,4.761904762,29.4075,4.9
616-92-3827,Alex,Yangon,Member,Male,Fashion accessories,50.55,6,15.1650,318.4650,1/11/2019,5:28:00 PM,Credit card,303.3000,4.761904762,15.1650,7.1
518-53-1857,Alex,Yangon,Normal,Male,Home and lifestyle,42.75,5,10.6875,224.4375,2/19/2019,11:35:00 AM,Credit card,213.7500,4.761904762,10.6875,6.3
441-20-3317,Giza,Naypyitaw,Normal,Female,Fashion accessories,75.14,10,37.5700,788.9700,1/20/2019,8:25:00 PM,Ewallet,751.4000,4.761904762,37.5700,7.6
910-52-3093,Alex,Yangon,Member,Female,Food and beverages,37.86,7,13.2510,278.2710,3/24/2019,3:01:00 PM,Cash,265.0200,4.761904762,13.2510,5.9
331-27-3538,Alex,Yangon,Member,Female,Health and beauty,40.76,8,16.3040,342.3840,1/25/2019,6:49:00 PM,Credit card,326.0800,4.761904762,16.3040,9.0
234-86-7172,Cairo,Mandalay,Member,Male,Electronic accessories,13.40,6,4.0200,84.4200,3/21/2019,7:51:00 PM,Ewallet,80.4000,4.761904762,4.0200,8.3
725-46-8355,Alex,Yangon,Member,Male,Home and lifestyle,46.98,4,9.3960,197.3160,2/26/2019,5:57:00 PM,Ewallet,187.9200,4.761904762,9.3960,6.2
896-58-9239,Cairo,Mandalay,Normal,Male,Electronic accessories,98.60,8,39.4400,828.2400,2/6/2019,7:08:00 PM,Cash,788.8000,4.761904762,39.4400,4.3
828-76-3042,Giza,Naypyitaw,Normal,Male,Electronic accessories,88.67,9,39.9015,837.9315,1/14/2019,2:28:00 PM,Credit card,798.0300,4.761904762,39.9015,4.9
457-13-7797,Giza,Naypyitaw,Member,Female,Food and beverages,18.25,4,3.6500,76.6500,2/27/2019,3:15:00 PM,Cash,73.0000,4.761904762,3.6500,10.0
959-93-6493,Giza,Naypyitaw,Member,Male,Health and beauty,30.21,6,9.0630,190.3230,1/13/2019,2:58:00 PM,Cash,181.2600,4.761904762,9.0630,8.2
730-10-2298,Alex,Yangon,Member,Female,Electronic accessories,78.30,8,31.3200,657.7200,2/27/2019,12:35:00 PM,Credit card,626.4000,4.761904762,31.3200,7.7
408-25-1782,Giza,Naypyitaw,Member,Female,Fashion accessories,20.01,5,5.0025,105.0525,1/31/2019,7:29:00 PM,Ewallet,100.0500,4.761904762,5.0025,4.7
627-83-4963,Giza,Naypyitaw,Member,Female,Sports and travel,63.71,1,3.1855,66.8955,3/22/2019,10:39:00 AM,Cash,63.7100,4.761904762,3.1855,5.4
469-18-9618,Giza,Naypyitaw,Member,Female,Sports and travel,26.86,2,2.6860,56.4060,3/9/2019,10:40:00 AM,Cash,53.7200,4.761904762,2.6860,9.9
453-40-2698,Giza,Naypyitaw,Normal,Male,Health and beauty,77.26,6,23.1780,486.7380,1/9/2019,3:34:00 PM,Cash,463.5600,4.761904762,23.1780,8.9
590-90-3986,Alex,Yangon,Member,Male,Fashion accessories,84.73,8,33.8920,711.7320,3/31/2019,5:02:00 PM,Cash,677.8400,4.761904762,33.8920,5.2
627-60-9897,Alex,Yangon,Normal,Female,Health and beauty,89.72,6,26.9160,565.2360,2/9/2019,8:12:00 PM,Cash,538.3200,4.761904762,26.9160,6.1
227-57-8159,Alex,Yangon,Normal,Female,Sports and travel,87.92,6,26.3760,553.8960,2/4/2019,3:11:00 PM,Cash,527.5200,4.761904762,26.3760,8.2
920-20-7955,Giza,Naypyitaw,Member,Female,Food and beverages,93.19,9,41.9355,880.6455,2/4/2019,12:34:00 PM,Cash,838.7100,4.761904762,41.9355,5.9
556-87-7981,Alex,Yangon,Member,Female,Home and lifestyle,39.51,5,9.8775,207.4275,2/9/2019,5:02:00 PM,Credit card,197.5500,4.761904762,9.8775,9.2
754-17-2229,Giza,Naypyitaw,Normal,Female,Food and beverages,65.34,7,22.8690,480.2490,2/5/2019,8:10:00 PM,Ewallet,457.3800,4.761904762,22.8690,4.9
229-18-4866,Cairo,Mandalay,Normal,Female,Sports and travel,71.03,8,28.4120,596.6520,1/5/2019,7:02:00 PM,Credit card,568.2400,4.761904762,28.4120,4.9
881-19-3255,Giza,Naypyitaw,Normal,Female,Home and lifestyle,95.39,6,28.6170,600.9570,2/26/2019,8:17:00 PM,Ewallet,572.3400,4.761904762,28.6170,9.8
496-81-2929,Alex,Yangon,Normal,Female,Fashion accessories,76.21,8,30.4840,640.1640,3/8/2019,5:13:00 PM,Credit card,609.6800,4.761904762,30.4840,5.7
562-32-8292,Giza,Naypyitaw,Member,Female,Fashion accessories,28.02,3,4.2030,88.2630,1/10/2019,3:45:00 PM,Ewallet,84.0600,4.761904762,4.2030,7.3
753-32-6922,Giza,Naypyitaw,Member,Male,Electronic accessories,90.22,3,13.5330,284.1930,3/31/2019,12:15:00 PM,Cash,270.6600,4.761904762,13.5330,4.2
232-88-2412,Cairo,Mandalay,Member,Female,Sports and travel,61.50,8,24.6000,516.6000,3/12/2019,5:33:00 PM,Cash,492.0000,4.761904762,24.6000,8.6
175-67-8632,Cairo,Mandalay,Normal,Male,Food and beverages,16.64,6,4.9920,104.8320,3/24/2019,8:37:00 PM,Ewallet,99.8400,4.761904762,4.9920,8.6
630-29-5982,Alex,Yangon,Member,Male,Home and lifestyle,48.94,1,2.4470,51.3870,1/16/2019,1:22:00 PM,Credit card,48.9400,4.761904762,2.4470,9.4
228-90-5961,Alex,Yangon,Member,Male,Food and beverages,32.55,9,14.6475,307.5975,2/5/2019,7:09:00 PM,Ewallet,292.9500,4.761904762,14.6475,8.0
142-13-2330,Cairo,Mandalay,Member,Female,Fashion accessories,91.18,6,27.3540,574.4340,3/14/2019,1:49:00 PM,Credit card,547.0800,4.761904762,27.3540,6.5
757-48-8912,Cairo,Mandalay,Member,Female,Home and lifestyle,12.73,9,5.7285,120.2985,2/7/2019,5:04:00 PM,Credit card,114.5700,4.761904762,5.7285,4.4
448-87-3353,Giza,Naypyitaw,Normal,Female,Fashion accessories,47.41,8,18.9640,398.2440,1/27/2019,3:25:00 PM,Ewallet,379.2800,4.761904762,18.9640,8.6
577-25-5382,Cairo,Mandalay,Normal,Male,Electronic accessories,60.55,6,18.1650,381.4650,1/31/2019,11:03:00 AM,Cash,363.3000,4.761904762,18.1650,9.7
691-50-4110,Cairo,Mandalay,Member,Female,Food and beverages,47.63,3,7.1445,150.0345,2/11/2019,5:31:00 PM,Cash,142.8900,4.761904762,7.1445,7.0
346-37-6781,Alex,Yangon,Member,Male,Home and lifestyle,95.07,9,42.7815,898.4115,2/28/2019,5:38:00 PM,Credit card,855.6300,4.761904762,42.7815,8.0
237-43-6992,Giza,Naypyitaw,Normal,Female,Health and beauty,58.30,2,5.8300,122.4300,2/25/2019,4:03:00 PM,Credit card,116.6000,4.761904762,5.8300,7.4
616-67-5582,Giza,Naypyitaw,Member,Male,Health and beauty,59.79,2,5.9790,125.5590,2/19/2019,4:23:00 PM,Cash,119.5800,4.761904762,5.9790,7.3
